"IP","Date","Time","Accepted cookies","Device type","Browser language","Browser name","OS Name","Country","Region","RegionName","City","Zipcode","Lat","Lon"
49.36.83.154,2024-06-22,23:05:35 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-06-28,16:04:45 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-07-14,13:01:14 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-08-28,16:52:07 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380007,23.0276,72.5871
49.36.83.154,2024-08-28,17:00:05 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380007,23.0276,72.5871
49.36.83.154,2024-09-04,04:19:13 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-05,22:12:36 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-05,23:30:36 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-05,23:42:34 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-06,03:49:28 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-09-08,03:50:08 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-06,16:37:38 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-06,16:52:48 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-07,04:05:09 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-07,04:15:46 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-07,04:53:39 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-09,04:39:11 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-09,15:03:19 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-09,19:16:22 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-10,04:26:39 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-10,04:34:27 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-10,06:05:12 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-10,07:58:46 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-10,18:35:26 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-11,05:03:11 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-13,02:12:32 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-14,04:26:30 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-14,04:29:10 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2024-10-14,07:40:03 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
